id,date_listed,community,zone,lat,lon,property_category,property_type,bedrooms,area_sqft,area_m2,view,furnishing,chiller_included,parking_spaces,metro_station,metro_line,metro_distance_min,to_burj_khalifa_km,contract_type,n_cheques,annual_rent_usd,rent_per_sqft_usd,rent_per_m2_usd
R000029,24-07-25,Jumeirah Village Circle,JVC,25.05485,55.20436,apartment,3BR,3,2445,227.1,city,fully_furnished,FALSE,1,Mashreq Bank,Red,77,17.33,yearly,1,54300,22,239
R000030,31-01-26,City Walk,Al Wasl,25.21968,55.27538,apartment,2BR,2,1145,106.4,park,fully_furnished,FALSE,2,Al Jafiliya,Red,47,2.5,yearly,6,55200,48,519
R000031,28-09-21,Meydan,Meydan,25.15735,55.29548,apartment,1BR,1,966,89.7,community,fully_furnished,FALSE,2,Al Jadaf,Green,108,4.91,short_term,6,20900,21,233
R000032,19-11-25,Town Square,Nshama,25.01308,55.27763,apartment,2BR,2,783,72.8,burj_khalifa,unfurnished,TRUE,1,Jumeirah Golf Estates,Red,129,20.48,yearly,2,14700,18,202
R000033,10-08-25,Town Square,Nshama,25.00833,55.25255,apartment,2BR,2,1233,114.5,pool,fully_furnished,FALSE,1,Mall of the Emirates,Red,168,21.12,yearly,12,30000,24,262
R000034,18-02-24,Bukadra,Bukadra,25.19392,55.33441,apartment,3BR,3,1728,160.5,golf_course,fully_furnished,TRUE,2,Jebel Ali,Red,341,6.05,yearly,1,59800,34,373
R000035,10-11-24,Downtown Dubai,Downtown,25.18621,55.25442,apartment,1BR,1,748,69.5,community,fully_furnished,TRUE,1,Burj Khalifa/Dubai Mall,Red,8,2.35,yearly,12,36400,48,524
R000036,18-06-24,World Islands,World Islands,25.21941,55.14939,apartment,3BR,3,2059,191.2,marina,unfurnished,FALSE,2,Emirates Towers,Red,148,12.82,yearly,6,195100,94,1020
R000037,30-06-21,Tilal Al Ghaf,Tilal Al Ghaf,25.00721,55.26689,villa,4BR_villa,4,4860,451.5,community,unfurnished,TRUE,2,Ibn Battuta,Red,178,21.14,yearly,12,124100,25,275
R000038,21-06-25,Dubai Studio City,Dubai Studio City,25.05156,55.2175,apartment,1BR,1,544,50.5,sea,unfurnished,TRUE,1,Expo 2020,Red,149,17.18,yearly,2,13500,24,267
R000039,22-11-22,Jumeirah 3,Jumeirah,25.20077,55.2246,apartment,2BR,2,1467,136.3,city,unfurnished,TRUE,1,Max,Red,86,5.03,yearly,6,70300,47,516
R000040,27-07-25,Dubai Festival City,Festival City,25.22748,55.38851,apartment,3BR,3,1833,170.3,burj_khalifa,unfurnished,TRUE,3,Al Jadaf,Green,26,11.96,yearly,6,52300,28,307
R000041,03-08-22,Reem Mira,Reem,25.04806,55.26827,villa,4BR_villa,4,2995,278.2,golf_course,fully_furnished,TRUE,2,Salah Al Din,Red,322,16.6,yearly,1,64500,21,232
R000042,10-08-22,Jumeirah 1,Jumeirah,25.22634,55.27343,apartment,1BR,1,815,75.8,community,fully_furnished,FALSE,1,Oud Metha,Green,67,3.24,yearly,6,26400,32,348
R000043,01-10-21,The Lakes,Emirates Living,25.06091,55.17598,villa,4BR_villa,4,2910,270.4,park,semi_furnished,FALSE,3,Al Jafiliya,Red,265,18.11,yearly,12,101100,34,374
R000044,30-08-24,La Mer,Jumeirah,25.22687,55.27083,apartment,1BR,1,803,74.6,burj_khalifa,unfurnished,FALSE,1,Salah Al Din (G),Green,102,3.32,yearly,2,69200,86,928
R000045,24-05-22,Dubai Investment Park,DIP,25.00181,55.1985,apartment,4BR_penthouse,4,2853,265,park,semi_furnished,TRUE,1,Al Furjan,Red,59,23.03,yearly,6,42600,14,161
R000046,02-03-25,Jumeirah 2,Jumeirah,25.22391,55.23161,apartment,3BR,3,1527,141.8,community,unfurnished,TRUE,2,Baniyas Square,Red,100,5.23,yearly,1,69800,45,492
R000047,29-09-23,Dubai Studio City,Dubai Studio City,25.0347,55.20568,apartment,1BR,1,706,65.5,sea,fully_furnished,FALSE,1,MRT-1,Red,115,19.35,yearly,1,17300,24,264
R000048,12-01-21,Deira,Deira,25.28928,55.30845,apartment,2BR,2,868,80.6,community,semi_furnished,TRUE,1,Abu Baker Al Siddique,Red,29,10.8,yearly,2,9400,10,117
R000049,18-12-22,Jumeirah 1,Jumeirah,25.22951,55.24861,apartment,studio,0,492,45.7,city,unfurnished,TRUE,1,World Trade Centre,Red,39,4.43,yearly,2,18700,37,408
R000050,23-03-25,The Greens,The Greens,25.10022,55.17604,apartment,1BR,1,722,67.1,marina,fully_furnished,TRUE,1,Dubai Internet City,Red,5,14.64,yearly,4,25400,35,378
R000051,01-03-26,Umm Suqeim,Jumeirah,25.16547,55.2107,villa,3BR_villa,3,3583,332.9,park,fully_furnished,TRUE,3,Ibn Battuta,Red,173,7.32,yearly,2,244200,68,734
R000052,05-06-21,Dubai Hills Estate,Mohammed Bin Rashid,25.1135,55.24178,villa,4BR_villa,4,3973,369.1,community,fully_furnished,TRUE,3,Sharaf DG,Red,71,9.87,yearly,2,104200,26,282
R000053,09-03-26,Remraam,Dubailand,25.0057,55.2412,apartment,2BR,2,825,76.7,golf_course,fully_furnished,TRUE,1,First Abu Dhabi Bank,Red,182,21.56,yearly,4,12000,14,156
R000054,07-09-25,Karama,Bur Dubai,25.2442,55.3183,apartment,1BR,1,754,70,marina,fully_furnished,FALSE,1,Union,Red,34,6.84,short_term,2,19400,25,277
R000055,06-03-22,Azizi Riviera,MBR City,25.16252,55.28548,apartment,2BR,2,899,83.5,city,fully_furnished,TRUE,1,Discovery Gardens,Red,253,4.01,short_term,2,18000,20,215
R000056,11-11-23,Jumeirah 2,Jumeirah,25.23506,55.24541,apartment,1BR,1,815,75.7,city,fully_furnished,FALSE,2,Al Karama,Red,91,5.12,yearly,12,41600,51,550
R000057,20-02-26,Jumeirah 3,Jumeirah,25.20737,55.23585,villa,6BR_villa,6,7712,716.4,sea,fully_furnished,TRUE,3,Al Karama,Red,109,4.04,yearly,4,603100,78,842
R000058,12-12-23,Dubai Islands,Deira Islands,25.27722,55.33793,villa,3BR_villa,3,2443,226.9,marina,unfurnished,FALSE,3,Al Qiyadah,Red,43,10.95,yearly,1,105500,43,465
R000059,24-06-21,Mohammed Bin Rashid City,Mohammed Bin Rashid,25.1657,55.30715,apartment,1BR,1,796,74,community,fully_furnished,FALSE,1,Salah Al Din,Red,153,4.81,yearly,6,20700,26,280
R000060,29-04-23,Expo City,Dubai South,24.96031,55.12907,apartment,1BR,1,732,68,marina,fully_furnished,FALSE,1,Dubai Investment Park,Red,51,30.13,yearly,2,12600,17,185
R000061,02-01-24,Maritime City,Maritime City,25.26968,55.25907,apartment,1BR,1,754,70,park,fully_furnished,FALSE,1,Al Karama,Red,60,8.21,yearly,2,23800,31,340
R000062,27-07-22,Jumeirah Village Triangle,JVT,25.05109,55.1808,apartment,studio,0,528,49.1,community,semi_furnished,TRUE,1,Noor Bank,Red,105,18.78,yearly,2,10000,18,204
R000063,14-06-21,Bluewaters Island,Dubai Marina,25.08667,55.14101,apartment,4BR_penthouse,4,2991,277.8,community,fully_furnished,FALSE,1,Mashreq Bank,Red,63,18.2,yearly,2,120600,40,434
R000064,16-09-22,Dubai Harbour,Dubai Marina,25.08794,55.12962,apartment,1BR,1,442,41,burj_khalifa,fully_furnished,FALSE,1,Ibn Battuta,Red,72,18.97,yearly,2,29300,66,713
R000065,19-07-21,Falcon City of Wonders,Dubailand,25.03941,55.32241,apartment,2BR,2,1143,106.2,community,semi_furnished,TRUE,2,MRT-1,Red,217,18.2,yearly,2,11600,10,110
R000066,06-08-24,Jumeirah 1,Jumeirah,25.23421,55.2551,villa,4BR_villa,4,4851,450.6,marina,fully_furnished,FALSE,3,Max,Red,45,4.55,yearly,2,227500,46,505
R000067,22-09-25,Jumeirah Lake Towers,JLT,25.07386,55.12575,apartment,studio,0,485,45.1,community,unfurnished,FALSE,2,UAE Pavilion,Red,55,20.3,yearly,12,10000,20,221
R000068,29-03-24,The Springs,Emirates Living,25.05923,55.17881,villa,3BR_villa,3,2316,215.2,community,fully_furnished,TRUE,4,Mashreq Bank,Red,69,18.11,yearly,6,82200,35,382
R000069,08-09-23,Al Reem,Arabian Ranches,25.0391,55.27681,villa,6BR_villa,6,9255,859.8,marina,semi_furnished,TRUE,2,Mashreq Bank,Red,139,17.58,yearly,2,307500,33,358
R000070,15-04-22,The Valley,Dubai-Al Ain Road,24.97418,55.48755,villa,5BR_villa,5,4803,446.2,burj_khalifa,fully_furnished,TRUE,2,Financial Centre,Red,422,32.8,yearly,1,120000,25,269
R000071,12-04-23,Jumeirah Bay Island,Jumeirah,25.19867,55.24238,apartment,4BR_penthouse,4,3508,325.9,sea,fully_furnished,TRUE,1,Dubai Healthcare City,Green,91,3.23,yearly,2,445900,127,1368
R000072,06-08-22,Arabian Ranches,Arabian Ranches,25.04311,55.28831,villa,3BR_villa,3,3261,303,marina,unfurnished,FALSE,4,Emirates Towers,Red,224,17.19,yearly,4,109800,33,363
R000073,31-12-24,Jumeirah 1,Jumeirah,25.22776,55.24962,apartment,1BR,1,829,77,community,fully_furnished,TRUE,1,Burj Khalifa/Dubai Mall,Red,48,4.21,yearly,2,45500,54,591
R000074,17-02-22,DIFC,DIFC,25.20428,55.28691,apartment,4BR_penthouse,4,1803,167.5,community,unfurnished,TRUE,2,Burj Khalifa/Dubai Mall,Red,21,1.48,yearly,2,64300,35,384
R000075,28-01-25,Bluewaters Island,Dubai Marina,25.07753,55.12885,apartment,studio,0,413,38.4,community,fully_furnished,FALSE,2,Dubai Internet City,Red,67,19.79,yearly,6,21900,53,571
R000076,23-04-22,Business Bay,Business Bay,25.19808,55.28746,apartment,1BR,1,784,72.9,community,unfurnished,FALSE,1,Business Bay,Red,3,1.32,yearly,2,25400,32,349
R000077,11-04-26,Business Bay,Business Bay,25.18202,55.28006,apartment,studio,0,359,33.3,city,unfurnished,TRUE,2,Union,Red,124,1.78,yearly,1,13000,36,389
R000078,02-07-24,Jumeirah 1,Jumeirah,25.24095,55.24695,apartment,4BR_penthouse,4,3189,296.2,pool,unfurnished,TRUE,1,Palm Deira,Green,58,5.59,yearly,2,151900,47,513
R000079,26-07-23,The Valley,Dubai-Al Ain Road,24.96667,55.47978,villa,4BR_villa,4,3676,341.5,pool,semi_furnished,TRUE,2,Centrepoint,Red,414,32.94,yearly,4,64500,17,189
R000080,05-02-24,Damac Hills,Damac Hills,25.04209,55.26723,apartment,3BR,3,1963,182.3,marina,fully_furnished,TRUE,3,Al Karama,Red,308,17.26,yearly,12,60400,30,331
R000081,16-08-23,Jumeirah 1,Jumeirah,25.23546,55.26515,apartment,4BR_penthouse,4,2967,275.6,community,fully_furnished,TRUE,3,Al Ghubaiba,Green,56,4.35,yearly,2,134600,45,488
R000082,26-11-23,Al Mamzar,Al Mamzar,25.31356,55.36885,apartment,3BR,3,1696,157.6,sea,fully_furnished,FALSE,3,Creek,Green,90,16.05,yearly,12,43000,25,273
R000083,18-08-24,Dubai South,Dubai South,24.9196,55.15695,villa,6BR_villa,6,7070,656.9,community,semi_furnished,TRUE,4,UAE Exchange,Red,141,33.06,yearly,2,86200,12,131
R000084,14-12-25,Jumeirah Village Triangle,JVT,25.0576,55.1805,apartment,1BR,1,738,68.6,park,fully_furnished,TRUE,1,Jumeirah Golf Estates,Red,47,18.17,yearly,12,19400,26,284
R000085,01-01-21,Dubai South,Dubai South,24.90382,55.16631,villa,3BR_villa,3,3433,318.9,marina,fully_furnished,TRUE,3,Jumeirah Golf Estates,Red,156,34.39,yearly,4,35300,10,111
R000086,23-11-24,Damac Hills,Damac Hills,25.02966,55.26582,villa,4BR_villa,4,3771,350.4,burj_khalifa,unfurnished,TRUE,2,Business Bay,Red,217,18.65,short_term,2,125300,33,358
R000087,19-05-22,Mohammed Bin Rashid City,Mohammed Bin Rashid,25.1765,55.31834,apartment,studio,0,538,50,park,fully_furnished,TRUE,1,Abu Baker Al Siddique,Red,158,4.98,yearly,12,22700,42,454
R000088,16-04-25,Bukadra,Bukadra,25.18679,55.30683,villa,5BR_villa,5,4718,438.4,community,unfurnished,TRUE,3,Abu Baker Al Siddique,Red,138,3.46,yearly,2,128200,27,292
R000089,22-11-24,Dubai Silicon Oasis,Dubai Silicon Oasis,25.12571,55.3837,apartment,1BR,1,708,65.8,burj_khalifa,unfurnished,TRUE,1,BurJuman (G),Green,208,13.57,yearly,4,18800,26,285
R000090,05-01-24,Mira,Reem,25.04341,55.26754,villa,4BR_villa,4,4834,449.1,pool,unfurnished,TRUE,3,Jebel Ali,Red,175,17.11,yearly,1,136900,28,305
R000091,23-08-25,World Islands,World Islands,25.21609,55.14152,apartment,3BR,3,1301,120.8,city,unfurnished,FALSE,1,BurJuman (G),Green,175,13.53,yearly,2,94500,72,782
R000092,21-01-21,Jumeirah Beach Residence,Dubai Marina,25.08364,55.13166,apartment,1BR,1,767,71.2,marina,fully_furnished,FALSE,2,Mall of the Emirates,Red,100,19.13,yearly,6,23300,30,327
R000093,02-03-22,World Islands,World Islands,25.22732,55.15695,villa,3BR_villa,3,2587,240.3,community,unfurnished,FALSE,2,Creek,Green,230,12.28,yearly,1,121000,46,504
R000094,02-01-24,Dubai Harbour,Dubai Marina,25.0806,55.14313,apartment,4BR_penthouse,4,2597,241.3,park,unfurnished,TRUE,1,Baniyas Square (G),Green,306,18.51,yearly,12,162600,62,674
R000095,06-11-24,DAMAC Lagoons,Damac,25.06124,55.27581,villa,4BR_villa,4,1872,173.9,park,unfurnished,FALSE,4,Expo 2020,Red,190,15.12,short_term,6,43800,23,252
R000096,12-09-21,Dubai South,Dubai South,24.908,55.16852,villa,5BR_villa,5,4890,454.3,community,fully_furnished,TRUE,3,Danube,Red,156,33.88,yearly,1,40000,8,88
R000097,02-05-22,Motor City,Motor City,25.03669,55.26384,apartment,3BR,3,1732,160.9,park,fully_furnished,TRUE,1,Discovery Gardens,Red,116,17.88,yearly,1,30000,17,186
R000098,26-12-22,Jumeirah Lake Towers,JLT,25.07721,55.13103,apartment,1BR,1,683,63.4,burj_khalifa,unfurnished,TRUE,2,Business Bay,Red,222,19.65,yearly,1,19300,28,304
R000099,13-02-23,Jumeirah Lake Towers,JLT,25.06963,55.13855,apartment,studio,0,444,41.2,city,unfurnished,FALSE,1,Ibn Battuta,Red,42,19.7,yearly,6,9900,22,240
R000100,29-11-24,Dubai Harbour,Dubai Marina,25.07324,55.15476,apartment,4BR_penthouse,4,1979,183.9,city,fully_furnished,FALSE,1,Sharaf DG,Red,57,18.3,yearly,4,141300,71,769
R000101,15-08-25,Deira,Deira,25.2699,55.30147,apartment,2BR,2,1169,108.6,community,unfurnished,TRUE,2,Union (G),Green,3,8.53,yearly,2,24500,21,226
R000102,22-03-26,Jumeirah Golf Estates,JGE,25.00637,55.19145,villa,4BR_villa,4,4720,438.5,sea,semi_furnished,FALSE,4,Jumeirah Golf Estates,Red,30,22.8,yearly,6,257000,54,586
R000103,06-01-25,Deira,Deira,25.27926,55.2871,apartment,1BR,1,893,83,community,unfurnished,FALSE,2,Union (G),Green,6,9.21,yearly,6,20900,23,252
R000104,15-06-25,The Springs,Emirates Living,25.04583,55.19416,villa,5BR_villa,5,5497,510.7,community,fully_furnished,FALSE,3,Dubai Investment Park,Red,81,18.67,yearly,1,182600,33,358
R000105,25-07-21,Jumeirah Beach Residence,Dubai Marina,25.07784,55.12807,apartment,studio,0,447,41.5,city,fully_furnished,FALSE,1,MRT-1,Red,60,19.83,yearly,1,15500,34,374
R000106,22-06-24,The Springs,Emirates Living,25.04731,55.18997,villa,4BR_villa,4,3821,355,park,unfurnished,FALSE,2,Discovery Gardens,Red,51,18.71,yearly,2,150900,39,425
R000107,20-02-24,Umm Suqeim,Jumeirah,25.15044,55.21988,villa,5BR_villa,5,4778,443.9,park,fully_furnished,TRUE,2,Mall of the Emirates,Red,44,7.56,yearly,6,328100,68,739
R000108,02-06-22,Mira,Reem,25.05154,55.27848,villa,5BR_villa,5,3561,330.8,city,fully_furnished,FALSE,3,Baniyas Square (G),Green,310,16.2,yearly,4,80600,22,244
R000109,23-12-25,Dubai Production City,IMPZ,25.0176,55.22494,apartment,2BR,2,1259,116.9,pool,unfurnished,FALSE,3,Business Bay,Red,224,20.58,yearly,2,15400,12,132
R000110,23-04-21,Sustainable City,Sustainable City,24.96566,55.28576,villa,4BR_villa,4,4156,386.1,city,fully_furnished,TRUE,3,Noor Bank,Red,209,25.77,yearly,12,94900,22,246
R000111,15-02-26,Business Bay,Business Bay,25.18781,55.24926,apartment,2BR,2,1070,99.4,sea,unfurnished,TRUE,2,Burj Khalifa/Dubai Mall,Red,22,2.74,yearly,1,47000,43,472
R000112,05-02-24,Al Barsha,Al Barsha,25.11646,55.20396,apartment,1BR,1,732,68,golf_course,semi_furnished,TRUE,2,Noor Bank,Red,28,11.44,yearly,2,24700,33,363
R000113,28-12-24,Jumeirah Village Circle,JVC,25.04909,55.22152,apartment,3BR,3,1519,141.1,sea,unfurnished,TRUE,1,Energy,Red,179,17.31,yearly,2,37300,24,264
R000114,02-09-23,Meydan,Meydan,25.15365,55.29169,apartment,studio,0,506,47.1,pool,fully_furnished,TRUE,1,Expo 2020,Red,317,5.15,yearly,12,23800,47,506
R000115,28-05-24,Jumeirah Bay Island,Jumeirah,25.21831,55.25452,apartment,1BR,1,881,81.8,marina,fully_furnished,TRUE,1,Business Bay,Red,30,3.08,yearly,4,129800,147,1586
R000116,12-02-26,The Springs,Emirates Living,25.05799,55.18424,villa,3BR_villa,3,3632,337.5,pool,fully_furnished,TRUE,3,Jumeirah Golf Estates,Red,31,17.94,yearly,4,168000,46,498
R000117,17-07-21,Jumeirah Village Triangle,JVT,25.04953,55.16221,apartment,1BR,1,942,87.5,city,fully_furnished,TRUE,2,Discovery Gardens,Red,52,19.93,yearly,2,16000,17,183
R000118,25-02-23,DIFC,DIFC,25.21603,55.2758,apartment,2BR,2,1300,120.8,city,fully_furnished,TRUE,1,Financial Centre,Red,4,2.1,yearly,2,120300,92,996
R000119,10-07-25,Karama,Bur Dubai,25.23845,55.29554,apartment,2BR,2,1160,107.8,city,fully_furnished,FALSE,1,Al Karama,Red,17,5.06,yearly,4,24800,21,230
R000120,07-08-23,World Islands,World Islands,25.23705,55.15057,apartment,2BR,2,1028,95.5,park,unfurnished,FALSE,2,Max,Red,166,13.22,yearly,1,65800,64,689
R000121,15-08-22,Dubai Investment Park,DIP,24.99885,55.18806,apartment,1BR,1,771,71.7,park,semi_furnished,TRUE,1,Dubai Investment Park,Red,16,23.71,yearly,12,9100,11,127
R000122,09-06-24,Damac Hills,Damac Hills,25.02592,55.25578,apartment,1BR,1,877,81.4,park,semi_furnished,TRUE,2,Jumeirah Golf Estates,Red,115,19.14,yearly,4,24100,27,296
R000123,25-11-22,Dubai Islands,Deira Islands,25.29503,55.31807,apartment,1BR,1,666,61.8,city,fully_furnished,TRUE,1,Abu Baker Al Siddique (G),Green,25,11.73,yearly,1,24500,36,396
R000124,08-11-25,Arabian Ranches 3,Arabian Ranches,25.05812,55.28497,villa,3BR_villa,3,3813,354.2,park,semi_furnished,TRUE,2,UAE Exchange,Red,280,15.5,yearly,1,191600,50,541
R000125,06-08-25,Arabian Ranches 2,Arabian Ranches,25.04482,55.26902,villa,5BR_villa,5,4845,450.2,city,semi_furnished,FALSE,3,Sharaf DG,Red,129,16.95,yearly,2,231900,47,515
R000126,29-01-21,The Views,The Greens,25.0977,55.18416,apartment,studio,0,345,32.1,community,fully_furnished,FALSE,1,Dubai Internet City,Red,5,14.31,yearly,6,5800,16,182
R000127,18-03-22,Liwan,Dubailand,25.07661,55.32357,apartment,2BR,2,1134,105.3,pool,fully_furnished,FALSE,2,BurJuman,Red,255,14.29,yearly,4,19300,17,183
R000128,27-04-23,Palm Jumeirah,Palm Jumeirah,25.10863,55.15519,apartment,3BR,3,2143,199.1,marina,fully_furnished,FALSE,1,Mashreq Bank,Red,43,15.52,yearly,12,192800,90,969
R000129,29-10-24,Karama,Bur Dubai,25.25112,55.27933,apartment,1BR,1,642,59.6,sea,unfurnished,TRUE,2,BurJuman (G),Green,14,6.02,yearly,4,18400,28,309
R000130,29-02-24,Liwan,Dubailand,25.05755,55.30222,apartment,3BR,3,2414,224.2,pool,fully_furnished,TRUE,1,Financial Centre,Red,205,15.78,yearly,4,54000,22,241
R000131,17-07-21,Mirdif,Mirdif,25.21603,55.43857,villa,5BR_villa,5,5319,494.2,community,semi_furnished,TRUE,2,Burj Khalifa/Dubai Mall,Red,179,16.65,yearly,4,92400,17,187
R000132,23-12-22,City Walk,Al Wasl,25.22322,55.27413,apartment,studio,0,452,42,community,fully_furnished,TRUE,1,World Trade Centre,Red,38,2.89,yearly,2,23200,51,552
R000133,18-09-22,Dubai Production City,IMPZ,25.036,55.22945,apartment,1BR,1,889,82.6,pool,fully_furnished,FALSE,2,Danube,Red,136,18.49,yearly,2,15500,17,187
R000134,16-12-23,The Greens,The Greens,25.09773,55.16348,apartment,4BR_penthouse,4,3579,332.5,pool,unfurnished,FALSE,1,Dubai Internet City,Red,5,15.72,yearly,2,126700,35,381
R000135,08-05-22,Umm Suqeim,Jumeirah,25.15194,55.19411,villa,4BR_villa,4,3339,310.2,marina,fully_furnished,FALSE,4,Mall of the Emirates,Red,46,9.52,yearly,4,203000,60,655
R000136,28-05-23,Dubai Hills Estate,Mohammed Bin Rashid,25.11011,55.26367,villa,4BR_villa,4,3682,342.1,community,unfurnished,FALSE,2,Oud Metha,Green,185,9.74,yearly,2,113100,30,331
R000137,05-11-24,Maritime City,Maritime City,25.26101,55.24913,apartment,2BR,2,1306,121.4,community,unfurnished,TRUE,2,Union,Red,68,7.54,yearly,2,37100,28,306
R000138,09-03-22,Jumeirah 3,Jumeirah,25.19858,55.22466,apartment,4BR_penthouse,4,3098,287.8,park,semi_furnished,FALSE,2,Emirates Towers,Red,63,5.01,yearly,2,115400,37,401
